SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,,In stock?,Allow customer reviews?,Brands,Categories,Tags,images,Regular Price,
1702,Glitch Trialpack,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">One of each from Glitch Nicotine pouches</p>","<div class=""font-light max-w-prose""><h3>About Glitch Trialpack</h3>The trialpack from Glitch Nicotine pouches contains one of each flavor for you to try and find your favourite.<br/><br/><b>The Glitch Trialpack contains:</b><br/><br/><li>1x <a href=""/glitch-blueberry-ice.html"">Glitch Blueberry Ice</a></li><li>1x <a href=""/glitch-sweet-mint.html"">Glitch Sweet Mint</a></li><li>1x <a href=""/glitch-cool-ice.html"">Glitch Cool Ice</a></li></div>","Glitch,Slim All White,Nicotine Pouch,Strong",1,1,Glitch,Nicotine Pouches>Glitch,"Nicotine Pouches,Glitch",https://snusme.com/__media-service/img/product/254/GlitchTrialpack_snusme_s.webp,12.9,https://snusme.com/glitch-trialpack.html
1719,Greatest Cold Dry Mega Can,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Mega can filled with 200 mint flavoured pouches</p>","<div class=""font-light max-w-prose""><h1>Greatest Cold Dry Mega Can</h1> Greatest Cold Dry Mega Can from Premium Pouch Global is a premium product that offers 200 slimmed tobacco free portions with a clear taste of mint for a fresh nicotine pouch experience. <br/><br/>Greatest Cold Dry Mega Can delivers a nicotine level of 12mg/pouch. A refill can is always included!<br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 16</li><li>Nicotine mg/pouch: 12</li><li>Portions/can: 200</li><li>Weight/portion: 0,75g</li><li>Content: 150g</li><li>Manufacturer: Premium Pouch Global</li><br/><b>Declaration of content</b><br/><i>Filler (E460), water, glycerol (E422), natural flavors, humectant (E1520), nicotine (1.6%), citric acid (E330), salt, menthol, sweetener (E955)</i></div>","Greatest,Slim All White,Nicotine Pouch,Strong",1,1,Greatest,Nicotine Pouches>Greatest,"Nicotine Pouches,Greatest",https://snusme.com/__media-service/img/product/254/GreatestColdDryMegaCan_snusme.webp,26.32,
2340,Nordic Spirit Mixpack,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">One of each from Nordic Spirit nicotine pouches</p>","<div class=""font-light max-w-prose"">Nordic Spirit Mixpack contains:<br/><li><a href=""/nordic-spirit-frosty-berry-x-strong.html"">1x Nordic Spirit Frosty Berry X-Strong</a></li><li><a href=""/nordic-spirit-melon-fresh.html"">1x Nordic Spirit Melon Fresh</a></li><li><a href=""/nordic-spirit-tropical-mix.html"">1x Nordic Spirit Tropical Mix</a></li></div>","Nordic Spirit,Slim All White,Nicotine Pouch",1,1,Nordic Spirit,Nicotine Pouches>Nordic Spirit,"Nicotine Pouches,Nordic Spirit",https://snusme.com/__media-service/img/product/254/NordicSpiritMixpack_snusme.webp,12.9,https://snusme.com/nordic-spirit-mixpack.html
2927,VILD Mixpack,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">A mixpack with all flavors and strengths of VILD!</p>","<div class=""font-light max-w-prose""><h1>VILD Mixpack</h1>Discover premium nicotine pouches and a variety of flavors and strengths in the VILD Mixpack! This mixpack contains the four different flavors of VILD that range from 5,6mg up to 11mg per pouch, perfect for those exploring different nicotine strengths. <br/><br/>The flavors consist of three different mint varieties in the Bris, Kuling and Strom, and a unique bitter-sweet flavor of licorice root, dried herbs and star anise in the Jaeger flavor. <br/><br/><b>VILD Mixpack includes</b><li>1x VILD Bris (5,6mg/pouch)</li><li>1x VILD Kuling (8mg/pouch)</li><li>1x VILD Storm (11mg/pouch)</li><li>1x VILD Jaeger (8mg/pouch)</li></div>","VILD,Slim All White,Nicotine Pouch",1,1,VILD,Nicotine Pouches>VILD,"Nicotine Pouches,VILD",https://snusme.com/__media-service/img/product/254/VildMixpack2_snusme.webp,10.43,https://snusme.com/vild-mixpack.html
2979,White Fox Mixpack,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">One of each from the White Fox series</p>","<div class=""font-light max-w-prose"">The White Fox series from GN Tobacco is an exciting and refreshing take on nicotine pouches. From the beginning it was just White Fox Slim All White but since then they have added 4 more varieties for you to try out!<br/><br/>The WhiteFox Mixpack contains:<br/><br/><a href=""/white-fox-all-white-portion.html"">White Fox Slim All White Portion</a><br/><a href=""/white-fox-full-charge.html"">White Fox Fullcharge All White Portion</a><br/><a href=""/white-fox-double-mint-slim.html"">White Fox Double Mint Slim All White Portion</a><br/><a href=""/white-fox-black-slim-all-white.html"">White Fox Black Slim All White Portion</a><br/><a href=""/white-fox-peppered-mint-slim-all-white.html"">White Fox Peppered Mint Slim All White Portion</a></div>","White Fox,Nicotine Pouch",1,1,White Fox,Nicotine Pouches>White Fox,"Nicotine Pouches,White Fox",https://snusme.com/__media-service/img/product/254/WhiteFoxMixpack_snusme_s.webp,21.9,https://snusme.com/white-fox-mixpack.html
3016,XPCT Berry Mega Can,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Mega can from XPCT with 320 pouches and taste of berries</p>","<div class=""font-light max-w-prose""><h1>XPCT Berry Mega Can</h1> Feel the taste of Swedish summer with a refreshing breeze in the XPCT Berry Mega Can. The pouch has a sweet and slightly acidic flavor of Swedish berries and a nicotine strength of 6mg per pouch. <br/><br/>This Mega Can has a whopping 400 pouches, all tobacco free and in a slim design to fit comfortably and discreetly under your lip. <br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 15</li><li>Nicotine mg/pouch: 6</li><li>Content: 160g</li><li>Weight/pouch: 0,4g</li><li>Manufacturer: LIW Innovation AB</li><br/><b>Declaration of content</b><br/><i>Fillers (E460), water, humectants (E422, E1520), salt, flavorings, nicotine, mannitol (E421), plant fiber, xylitol, acidity regulators (E500), sweeteners (E955).</i></div>","XPCT,Slim All White,Nicotine Pouch,Strong",1,1,XPCT,Nicotine Pouches>XPCT,"Nicotine Pouches,XPCT",https://snusme.com/__media-service/img/product/254/XPCTBeryMega_snusme.webp,29.9,https://snusme.com/xpct-berry-mega-can.html
3018,XPCT Cola Ginger Tube,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Slim all white portion with taste of cola and ginger</p>","<div class=""font-light max-w-prose""><strong>XPCT Cola Ginger Tube</strong> is the latest product from XPCT nicotine pouches and comes delivered with 160 pouches and a refill can. The slimmed all white portions offers a flavour combination of cola and ginger and the nicotine strength is 16mg/g (8mg/pouch).<br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 16</li><li>Nicotine mg/pouch: 8</li><li>Content: 80g</li><li>Pouches/Tube: 160</li><li>Weight/Pouch: 0,5g</li><br/><b>Declaration of content</b><br/><i>Filler (E460), Water, Salt, Nicotine, Flavors, Xylitol, Mannitol (E421), Humectants (E422, E1520).</i></div>","XPCT,Slim All White,Nicotine Pouch,Strong",1,1,XPCT,Nicotine Pouches>XPCT,"Nicotine Pouches,XPCT",https://snusme.com/__media-service/img/product/254/XPCTColaGingerTube_snusme.webp,18.9,https://snusme.com/xpct-cola-ginger-tube.html
3020,XPCT Liquorice Tube,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Slim all white portion with classic taste of licorice</p>","<div class=""font-light max-w-prose""><strong>XPCT Liquorice Tube</strong> offers a slimmed all white portion with taste of licorice. Delivered in the ""XPCT Tube"" which contains 160 pouches and an included refill can for easy refill according to your own needs. <br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 16</li><li>Nicotine mg/pouch: 8</li><li>Content: 80g</li><li>Pouches/Tube: 160</li><li>Weight/Pouch: 0,5g</li><br/><b>Declaration of content</b><br/><i>Filler (E460), Water, Salt, Nicotine, Flavors, Xylitol, Mannitol (E421), Humectants (E422, E1520).</i></div>","XPCT,Slim All White,Nicotine Pouch,Strong",1,1,XPCT,Nicotine Pouches>XPCT,"Nicotine Pouches,XPCT",https://snusme.com/__media-service/img/product/254/XPCTLiquoriceTube_snusme.webp,18.9,https://snusme.com/xpct-liquorice-tube.html
3022,XPCT Mango Pineapple Tube,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Slim all white portion with taste of mango and pineapples</p>","<div class=""font-light max-w-prose""><strong>XPCT Mango Pineapple Tube</strong> offers a slimmed all white portion with taste of mango and pineapple. Delivered in the ""XPCT Tube"" which contains 200 pouches and an included refill can for easy refill according to your own needs. <br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 15</li><li>Nicotine mg/pouch: 6</li><li>Content: 80g</li><li>Pouches/Tube: 200</li><li>Weight/Pouch: 0,4g</li><br/><b>Declaration of content</b><br/><i>Filler (E460), Water, Salt, Nicotine, Flavors, Xylitol, Mannitol (E421), Humectants (E422, E1520).</i></div>","XPCT,Slim All White,Nicotine Pouch,Strong",1,1,XPCT,Nicotine Pouches>XPCT,"Nicotine Pouches,XPCT",https://snusme.com/__media-service/img/product/254/XPCTMangoPineappleTube_snusme.webp,18.9,https://snusme.com/xpct-mango-pineapple-tube.html
3024,XPCT Mint Mega Can,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Mega can from XPCT with 320 pouches and a cooling taste of mint</p>","<div class=""font-light max-w-prose""><strong>XPCT Mint Mega Can</strong> from LIW Innovation comes in a mega can with 160g (320 pouches) and offers a refreshing taste of classic mint. The slim all white portions delivers a nicotine strength of 16mg/g (8mg/pouch).<br/><br/>The mega can is a completely new concept from XPCT. A large can containing a total of 160g slimmed portions (equivalent to ~20 cans). Additionally, it comes with a specially designed refill can for easy refill according to your own needs. <br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 16</li><li>Nicotine mg/pouch: 8</li><li>Content: 160g</li><li>Pouches/Can: 320</li><li>Weight/Pouch: 0,5g</li><br/><b>Declaration of content</b><br/><i>Filler (E460), Water, Salt, Nicotine, Flavors, Xylitol, Mannitol (E421), Humectants (E422, E1520).</i></div>","XPCT,Slim All White,Nicotine Pouch,Strong",1,1,XPCT,Nicotine Pouches>XPCT,"Nicotine Pouches,XPCT",https://snusme.com/__media-service/img/product/254/XPCTMintMega_snusme.webp,29.9,https://snusme.com/xpct-mint-mega-can.html
