Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,,In stock?,Allow customer reviews?,Brands,Categories,Tags,images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Regular Price,
variable,1000,77 Apple & Mint Strong,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Slim white portion with taste of apple and fresh mint</p>","<div class=""font-light max-w-prose""><strong>77 Apple &amp; Mint Strong</strong> combines the sour taste of apple with a fresh touch of mint.<br/><br/>Apple &amp; Mint delivers an extra strong nicotine experience with it's 16mg/g nicotine strength. This gives the Apple and Mint combination a great kick and long lasting taste experience. The pouches are slimmed and all white which makes them fit perfectly under your lip and at the same time does not stain your teeth.<br/><br/>The 77 brand offers a wide range of different flavours with a strong nicotine content. Here at SnusMe you will find everything from Strawberry, Apple to Classic Tobacco flavour or Cola &amp; Vanilla.<br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 16</li><li>Content: 13g</li><li>Format: Slim</li><li>Portions/Can: 20</li><li>Manufacturer: 77 Nicotine Pouches</li><br/><b>Declaration of content</b><br/><i>Water, fillers (E460), flavor enhancers (saline), aromas, nicotine, xylitol, thickeners (E401), acidity regulators (E500), salmiak salt, sweeteners (E950).</i></div>","77,Slim All White,Nicotine Pouch,Strong",1,1,77,Nicotine Pouches>77,"Nicotine Pouches,77",https://snusme.com/__media-service/img/product/127/77AppleMint_snusme_s.webp,,,Cans,"1 can,5 cans,10 cans,30 cans",1,1,,
variation,1001,77 Apple & Mint Strong-1 can,1,0,visible,,,,1,1,,,,,1000,0,Cans,1 can,1,1,3.99,
variation,1002,77 Apple & Mint Strong-5 cans,1,0,visible,,,,1,1,,,,,1000,1,Cans,5 cans,1,1,18.9,
variation,1003,77 Apple & Mint Strong-10 cans,1,0,visible,,,,1,1,,,,,1000,2,Cans,10 cans,1,1,34.9,
variation,1004,77 Apple & Mint Strong-30 cans,1,0,visible,,,,1,1,,,,,1000,3,Cans,30 cans,1,1,98.9,
variable,1005,77 Black Currant Strong,1,0,visible,"<p class=""text-neutral-700 text-xs m-0"">Slim all white portion with taste of black currant</p>","<div class=""font-light max-w-prose""><strong>77 Black Currant Strong</strong> is a nicotine pouch with the popular taste of black currants.<br/><br/>The sour and fresh taste of black currant is widely popular when it comes to both Snus and Nicotine pouches. 77 Black Currant is no exception of both great quality and taste. Delivered in slimmed 100% tobacco free pouches, Black Currant offers you both a strong nicotine experience with it's 16mg/g nicotine strength, but also a long lasting taste experience. <br/><br/><b>CONTENT AND INFORMATION</b><li>Nicotine mg/g: 16</li><li>Content: 13g</li><li>Format: Slim</li><li>Portions/Can: 20</li><li>Manufacturer: 77 Nicotine Pouches</li><br/><b>Declaration of content</b><br/><i>Water, fillers (E460), flavor enhancers (saline), aromas, nicotine, xylitol, thickeners (E401), acidity regulators (E500), salmiak salt, sweeteners (E950).</i></div>","77,Slim All White,Nicotine Pouch,Strong",1,1,77,Nicotine Pouches>77,"Nicotine Pouches,77",https://snusme.com/__media-service/img/product/127/77BlackCurrant_snusme_s.webp,,,Cans,"1 can,5 cans,10 cans,30 cans",1,1,,
variation,1006,77 Black Currant Strong-1 can,1,0,visible,,,,1,1,,,,,1005,0,Cans,1 can,1,1,3.99,
variation,1007,77 Black Currant Strong-5 cans,1,0,visible,,,,1,1,,,,,1005,1,Cans,5 cans,1,1,18.9,
variation,1008,77 Black Currant Strong-10 cans,1,0,visible,,,,1,1,,,,,1005,2,Cans,10 cans,1,1,34.9,
variation,1009,77 Black Currant Strong-30 cans,1,0,visible,,,,1,1,,,,,1005,3,Cans,30 cans,1,1,98.9,
